Id,Id_Curso,NomeCurso,Cod_Sistec,Id_Eixo,Eixo,Id_LinhaProgramatica,LinhaProgramatica,Id_Modalidade,Modalidade,Id_Segmento,Segmento,Id_TipoCurso,TipoCurso,CHE,PSG,CursoLiveOpcao,ModeloPedagogico,NomeModeloPedagogico,ModeloReferencia,NomeModeloReferencia,ModalidadeEnsino,NomeModalidadeEnsino,EducacaoCorporativaOpcao,EducacaoCorporativaDR,AtendCorporativoOpcao,AtendCorporativoEmpresa,AtendCorporativoDR,Carga_Horaria_Estagio,Categoria,CodigoTitulo,Experimental,DataOcorrencia,Versao,MesAnoApuracao,Regional,Ativo
433,1554,Depilador,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1554,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
434,1556,Manicure e Pedicure,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1556,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
339,1392,Aprendizagem Profissional de Qualificação em Serviços Administrativos,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,1,Aprendizagem Profissional de Qualificação,800,1,0,0,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1392,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
347,1406,Aprendizagem Profissional de Qualificação em Serviços de Alimentação Escolar,NULL,2,Desenvolvimento Educacional e Social,0,NULL,1,"Formação Inicial e Continuada ",19,Educacional,1,Aprendizagem Profissional de Qualificação,800,1,0,0,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1406,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
410,1512,Assistente Administrativo,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1512,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
412,1514,Assistente de Recursos Humanos,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1514,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
416,1518,Operador de Computador,NULL,5,Informação e Comunicação,0,NULL,1,"Formação Inicial e Continuada ",14,Tecnologia da Informação,2,Qualificação profissional,196,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1518,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
431,1551,Cabeleireiro,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,2,Qualificação profissional,400,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1551,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
435,1557,Maquiador,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1557,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
441,1563,Técnico em Design de Interiores,NULL,7,Produção Cultural e Design,0,NULL,2,Educação Profissional Técnica de Nível Médio,6,Design,8,Habilitação Profissional Técnica de Nível Médio,800,1,0,1,NULL,0,NULL,2,NULL,0,"DN  ",0,,AC,0,1563,0,0,2021-10-08 02:35:35.103,1,09/2021,"ES  ",1
