Id,Id_Curso,NomeCurso,Cod_Sistec,Id_Eixo,Eixo,Id_LinhaProgramatica,LinhaProgramatica,Id_Modalidade,Modalidade,Id_Segmento,Segmento,Id_TipoCurso,TipoCurso,CHE,PSG,CursoLiveOpcao,ModeloPedagogico,NomeModeloPedagogico,ModeloReferencia,NomeModeloReferencia,ModalidadeEnsino,NomeModalidadeEnsino,EducacaoCorporativaOpcao,EducacaoCorporativaDR,AtendCorporativoOpcao,AtendCorporativoEmpresa,AtendCorporativoDR,Carga_Horaria_Estagio,Categoria,CodigoTitulo,Experimental,DataOcorrencia,Versao,MesAnoApuracao,Regional,Ativo
142,1108,Técnico em Agronegócio,NULL,9,Recursos Naturais,0,NULL,2,Educação Profissional Técnica de Nível Médio,74,Meio Ambiente (Recursos Naturais),8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,0,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,1108,0,0,2021-10-08 02:35:35.103,1,09/2021,"GO  ",1
410,1512,Assistente Administrativo,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1512,0,0,2021-10-08 02:35:35.103,1,09/2021,"GO  ",1
412,1514,Assistente de Recursos Humanos,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"    ",-1,,-1,0,1514,0,0,2021-10-08 02:35:35.103,1,09/2021,"GO  ",1
431,1551,Cabeleireiro,NULL,1,Ambiente e Saúde,0,NULL,1,"Formação Inicial e Continuada ",7,Beleza,2,Qualificação profissional,400,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1551,0,0,2021-10-08 02:35:35.103,1,09/2021,"GO  ",1
437,1559,Recepcionista,NULL,3,Gestão e Negócios,0,NULL,1,"Formação Inicial e Continuada ",1,Gestão,2,Qualificação profissional,160,1,0,1,NULL,0,NULL,1,NULL,0,"DN  ",0,,AC,0,1559,0,0,2021-10-08 02:35:35.103,1,09/2021,"GO  ",1
441,1563,Técnico em Design de Interiores,NULL,7,Produção Cultural e Design,0,NULL,2,Educação Profissional Técnica de Nível Médio,6,Design,8,Habilitação Profissional Técnica de Nível Médio,800,1,0,1,NULL,0,NULL,2,NULL,0,"DN  ",0,,AC,0,1563,0,0,2021-10-08 02:35:35.103,1,09/2021,"GO  ",1
442,1564,Técnico em Segurança do Trabalho,NULL,11,Segurança,0,NULL,2,Educação Profissional Técnica de Nível Médio,24,Segurança,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,1564,0,0,2021-10-08 02:35:35.103,1,09/2021,"GO  ",1
445,1567,Técnico em Informática,NULL,5,Informação e Comunicação,0,NULL,2,Educação Profissional Técnica de Nível Médio,14,Tecnologia da Informação,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",0,,-1,0,1567,0,0,2021-10-08 02:35:35.103,1,09/2021,"GO  ",1
449,1572,Técnico em Enfermagem,NULL,1,Ambiente e Saúde,0,NULL,2,Educação Profissional Técnica de Nível Médio,11,Saúde,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,1572,0,0,2021-10-08 02:35:35.103,1,09/2021,"GO  ",1
450,1573,Técnico em Estética,NULL,1,Ambiente e Saúde,0,NULL,2,Educação Profissional Técnica de Nível Médio,11,Saúde,8,Habilitação Profissional Técnica de Nível Médio,1200,1,0,1,NULL,0,NULL,2,NULL,0,"    ",-1,,-1,0,1573,0,0,2021-10-08 02:35:35.103,1,09/2021,"GO  ",1
