DR,Codigo_Unidade,Endereco_Cidade,nome,nome_cid,codigo_ibge
PR,1,CURITIBA,Curitiba,CURITIBA,4106902.0
PR,2,LONDRINA,Londrina,LONDRINA,4113700.0
PR,3,MARINGA,Maringa,MARINGA,4115200.0
PR,4,CASCAVEL,Cascavel,CASCAVEL,2303501.0
PR,4,CASCAVEL,Cascavel,CASCAVEL,4104808.0
PR,5,APUCARANA,Apucarana,APUCARANA,4101408.0
PR,6,FOZ DO IGUACU,Foz do Iguacu,FOZ DO IGUACU,4108304.0
PR,7,GUARAPUAVA,Guarapuava,GUARAPUAVA,4109401.0
PR,8,PONTA GROSSA,Ponta Grossa,PONTA GROSSA,4119905.0
PR,9,PATO BRANCO,Pato Branco,PATO BRANCO,4118501.0
PR,10,UMUARAMA,Umuarama,UMUARAMA,4128104.0
PR,11,CAMPO MOURAO,Campo Mourao,CAMPO MOURAO,4104303.0
PR,12,PARANAGUA,Paranagua,PARANAGUA,4118204.0
PR,13,PARANAVAI,Paranavai,PARANAVAI,4118402.0
PR,14,CASTRO,Castro,CASTRO,4104907.0
PR,15,TOLEDO,Toledo,TOLEDO,3169109.0
PR,15,TOLEDO,Toledo,TOLEDO,4127700.0
PR,16,FRANCISCO BELTRAO,Francisco Beltrao,FRANCISCO BELTRAO,4108403.0
PR,17,IRATI,Irati,IRATI,4110706.0
PR,17,IRATI,Irati,IRATI,4207858.0
PR,18,UNIAO DA VITORIA,Uniao da Vitoria,UNIAO DA VITORIA,4128203.0
PR,19,JACAREZINHO,Jacarezinho,JACAREZINHO,4111803.0
PR,21,SANTO ANTONIO DA PLATINA,Santo Antonio da Platina,SANTO ANTONIO DA PLATINA,4124103.0
PR,22,IVAIPORA,Ivaipora,IVAIPORA,4111506.0
PR,28,PRUDENTOPOLIS,Prudentopolis,PRUDENTOPOLIS,4120606.0
PR,29,SAO MATEUS DO SUL,Sao Mateus do Sul,SAO MATEUS DO SUL,4125605.0
PR,30,CORNELIO PROCOPIO,Cornelio Procopio,CORNELIO PROCOPIO,4106407.0
PR,31,PALMAS,Palmas,PALMAS,1721000.0
PR,31,PALMAS,Palmas,PALMAS,4117602.0
PR,32,CURITIBA,Curitiba,CURITIBA,4106902.0
PR,34,MATINHOS,Matinhos,MATINHOS,4115705.0
PR,36,MEDIANEIRA,Medianeira,MEDIANEIRA,4115804.0
PR,37,MARECHAL CANDIDO RONDON,Marechal Candido Rondon,MARECHAL CANDIDO RONDON,4114609.0
PR,38,RIO NEGRO,Rio Negro,RIO NEGRO,4122305.0
PR,38,RIO NEGRO,Rio Negro,RIO NEGRO,5007307.0
PR,39,SAO JOSE DOS PINHAIS,Sao Jose dos Pinhais,SAO JOSE DOS PINHAIS,4125506.0
PR,42,LONDRINA,Londrina,LONDRINA,4113700.0
PR,46,CURITIBA,Curitiba,CURITIBA,4106902.0
PR,47,NOVA LONDRINA,Nova Londrina,NOVA LONDRINA,4117107.0
PR,50,PONTA GROSSA,Ponta Grossa,PONTA GROSSA,4119905.0
PR,52,BELA VISTA DO PARAISO,Bela Vista do Paraiso,BELA VISTA DO PARAISO,4102802.0
CE,92,FORTALEZA,Fortaleza,FORTALEZA,2304400.0
CE,93,CRATO,Crato,CRATO,2304202.0
CE,94,IGUATU,Iguatu,IGUATU,2305506.0
CE,94,IGUATU,Iguatu,IGUATU,4110052.0
CE,95,JUAZEIRO DO NORTE,Juazeiro do Norte,JUAZEIRO DO NORTE,2307304.0
CE,96,SOBRAL,Sobral,SOBRAL,2312908.0
CE,5490,QUIXADÁ,Quixada,QUIXADA,2311306.0
CE,5494,ITAPIPOCA,Itapipoca,ITAPIPOCA,2306405.0
CE,5691,CEDRO,Cedro,CEDRO,2303808.0
CE,5691,CEDRO,Cedro,CEDRO,2604304.0
CE,5705,MARANGUAPE,Maranguape,MARANGUAPE,2307700.0
CE,5706,AQUIRAZ,Aquiraz,AQUIRAZ,2301000.0
CE,5712,FORTALEZA,Fortaleza,FORTALEZA,2304400.0
MT,24,CUIABÁ,Cuiaba,CUIABA,5103403.0
MT,25,RONDONÓPOLIS,Rondonopolis,RONDONOPOLIS,5107602.0
MT,26,BARRA DO GARÇAS,Barra do Garcas,BARRA DO GARCAS,5101803.0
MT,27,COLÍDER,Colider,COLIDER,5103205.0
MT,33,TANGARÁ DA SERRA,Tangara da Serra,TANGARA DA SERRA,5107958.0
GO,20,QUIRINÓPOLIS,Quirinopolis,QUIRINOPOLIS,5218508.0
GO,23,APARECIDA DE GOIÂNIA,Aparecida de Goiania,APARECIDA DE GOIANIA,5201405.0
PI,1424,FLORIANO,Floriano,FLORIANO,2203909.0
PI,1426,SAO RAIMUNDO NONATO,Sao Raimundo Nonato,SAO RAIMUNDO NONATO,2210607.0
PI,1428,TERESINA,Teresina,TERESINA,2211001.0
PI,1432,TERESINA,Teresina,TERESINA,2211001.0
PI,3298,PICOS,Picos,PICOS,2208007.0
PI,3908,BOM JESUS,Bom Jesus,BOM JESUS,2201903.0
PI,3908,BOM JESUS,Bom Jesus,BOM JESUS,2401701.0
PI,3908,BOM JESUS,Bom Jesus,BOM JESUS,2502201.0
PI,3908,BOM JESUS,Bom Jesus,BOM JESUS,4202537.0
PI,3908,BOM JESUS,Bom Jesus,BOM JESUS,4302303.0
PI,3950,TERESINA,Teresina,TERESINA,2211001.0
PI,3967,BARRAS,Barras,BARRAS,2201200.0
PI,3972,JOSE DE FREITAS,Jose de Freitas,JOSE DE FREITAS,2205508.0
PI,3975,PARNAIBA,Parnaiba,PARNAIBA,2207702.0
PI,3976,TERESINA,Teresina,TERESINA,2211001.0
SC,35,PORTO UNIÃO,Porto Uniao,PORTO UNIAO,4213609.0
MG,84,MANHUAU,,MANHUAU,3139409.0
MG,85,ITUIUTABA,Ituiutaba,ITUIUTABA,3134202.0
MG,86,COROMANDEL,Coromandel,COROMANDEL,3119302.0
